gene,count
CHKA,24399
CHODL,1047
CHRAC1,14311
CHRDL2,1541
CHRM1,769
CHRM2,720
CHRM3,652
CHRM4,1103
CHRM5,1013
CHRNA2,782
CHRNA3,717
CHRNA4,568
CHRNA5,1395
CHRNA6,3190
CHRNA7,692
CHRNB1,3345
CHRNB2,2077
CHRNB3,1318
CHRNB4,1097
CHST8,6644
CHUK,15767
CIDEC,3472
CIITA,25466
CILP2,1244
CINP,6685
CIP2A,6200
CISD2,21301
CKAP2,6118
CKAP4,28378
CKAP5,28470
CKS2,9788
CLCN3,15831
CLCN4,1196
CLCN5,1852
CLDN1,1567
CLDN18,1040
CLDN5,1884
CLDN7,22974
CLEC10A,6054
CLEC12A,4651
CLEC14A,2812
CLEC16A,9680
CLEC2A,1507
CLEC4A,11917
CLEC4C,2048
CLEC4D,1671
CLEC4M,2469
CLEC5A,4389
CLEC6A,1119
CLEC7A,5322
CLEC9A,2334
CLGN,1516
CLIC3,2598
CLIC4,46144
CLIC6,2875
CLK2,26795
CLK3,17339
CLK4,21834
CLN3,6919
CLN5,7312
CLNK,1516
CLOCK,15995
CLPTM1L,58854
CLPX,20939
CLSTN1,19730
CLSTN3,12599
CLTC,105542
CMA1,1788
CMKLR1,3571
CMSS1,12434
CMTM5,171
CMTM8,6222
CMYA5,8583
CNDP1,289
CNGB1,741
CNGB3,1687
CNIH4,15324
CNKSR3,2065
CNMD,787
CNN1,12244
CNNM1,1010
CNNM3,11586
CNOT1,23371
CNP,34631
CNR1,812
CNR2,2674
CNRIP1,6127
CNST,9550
CNTF,3442
CNTLN,2726
CNTN2,1571
CNTN6,473
CNTNAP1,5329
CNTNAP3,3113
CNTNAP4,417
CNTROB,8443
COASY,22772
COBLL1,6979
COCH,2172
COIL,14101
COL10A1,4510
COL11A1,2153
COL17A1,3846
COL18A1,16925
COL23A1,2129
COL25A1,599
COL2A1,1307
COL4A1,48935
COL4A2,27689
COL4A3,1176
COL4A4,2142
COL4A5,1545
COL5A1,34972
COL5A2,18905
COL7A1,2050
COLEC12,2628
COLQ,2107
COMP,4559
COMT,22770
COPS5,44475
COQ8A,8505
CORIN,684
CORO1B,12231
CORO1C,20625
CORT,3141
CP,2161
CPA4,1561
CPA5,997
CPA6,1564
CPB2,1428
CPEB1,1858
CPEB2,17698
