gene,count
ANO1,276742
ANO10,24873
ANO2,5583
ANO3,4190
ANO4,2536
ANO5,3952
ANO6,29258
ANO7,6519
ANO8,14764
ANO9,32317
ANOS1,5926
ANP32A,52547
ANP32B,16816
ANP32D,64
ANP32E,60163
ANPEP,27252
ANTKMT,33060
ANTXR1,9374
ANTXR2,21201
ANTXRL,1549
ANXA1,1886
ANXA10,8553
ANXA11,48616
ANXA13,3045
ANXA2,315148
ANXA2R,8190
ANXA3,39038
ANXA4,17365
ANXA5,535424
ANXA6,35260
ANXA7,113730
ANXA9,37286
AOAH,16007
AOC1,1795
AOC2,3981
AOC3,3418
AOX1,5327
AP1AR,79020
AP1B1,86937
AP1G1,77491
AP1G2,189574
AP1M1,44070
AP1S1,57559
AP1S3,7487
AP2A1,32936
AP2A2,34998
AP2B1,1241
AP2M1,208133
AP2S1,54425
AP3B1,112522
AP3B2,5763
AP3D1,38959
AP3M1,19982
AP3M2,19497
AP3S1,8450
AP3S2,8711
AP4B1,21597
AP4E1,16723
AP4M1,26544
AP4S1,23765
AP5M1,28533
AP5S1,2146
AP5Z1,39521
APAF1,11431
APBA1,5876
APBA2,3891
APBB1,9316
APBB1IP,18273
APBB2,122823
APBB3,19042
APC,36388
APC2,770
APCDD1,10308
APCDD1L,4124
APCS,3585
APEH,25031
APELA,4595
APEX1,132542
APEX2,50386
APH1A,61531
APH1B,23216
API5,53191
APIP,2979
APLF,27882
APLN,2825
APLNR,5564
APLP1,2327
APLP2,49478
APMAP,64830
APOA1,316
APOA2,2776
APOA4,659
APOA5,2087
APOB,6820
APOBEC1,3032
APOBEC2,4405
APOBEC3A,576
APOBEC3B,4688
APOBEC3C,2981
APOBEC3D,4159
APOBEC3F,4744
APOBEC3G,10053
APOBEC3H,4894
APOBEC4,5915
APOBR,10577
APOC1,2291
APOC2,418
APOC3,1281
APOC4,798
APOE,69997
APOF,3119
APOH,4735
APOL1,22155
APOL2,38656
APOL3,12675
APOL4,3580
APOL5,3244
APOL6,22303
APOLD1,34484
APOM,5106
APOO,11851
APOOL,60685
APP,305856
APPBP2,271504
APPL1,61156
APPL2,58540
APRT,100911
APTX,33222
AQP1,21306
AQP10,2487
AQP11,6235
AQP12B,3405
AQP2,2387
AQP4,2096
AQP5,290
AQP6,2102
AQP7,3872
AQP7B,2839
AQP8,983
AQP9,5617
AQR,14790
AR,47022
ARAF,72366
ARAP1,51565
ARAP2,23749
ARAP3,11780
ARCN1,79118
AREG,41112
AREL1,7190
ARF1,276777
ARF5,130442
ARF6,138715
ARFGAP1,44819
ARFGAP2,27420
ARFGAP3,31520
ARFGEF1,231839
ARFGEF2,76776
ARFGEF3,43837
ARFIP1,60509
ARFIP2,85461
ARFRP1,51611
ARG1,4440
ARG2,2986
ARGFX,6318
ARGLU1,106989
ARHGAP1,103313
ARHGAP10,16559
ARHGAP11A,5611
ARHGAP11B,42069
ARHGAP12,51653
ARHGAP15,9876
ARHGAP17,56368
ARHGAP18,15987
ARHGAP19,18798
ARHGAP20,2734
ARHGAP21,64959
ARHGAP22,8285
ARHGAP23,12316
ARHGAP24,9115
ARHGAP25,13295
ARHGAP26,32707
ARHGAP27,10495
ARHGAP28,4176
ARHGAP29,3608
ARHGAP30,2619
ARHGAP31,14313
ARHGAP32,109325
ARHGAP33,26659
ARHGAP35,77416
ARHGAP36,454
ARHGAP39,36917
ARHGAP4,21095
ARHGAP40,7317
ARHGAP42,12964
ARHGAP44,3753
ARHGAP45,15345
ARHGAP5,91678
ARHGAP6,7277
ARHGAP9,7022
ARHGDIA,24995
ARHGDIB,31024
ARHGDIG,1097
ARHGEF1,54381
ARHGEF10,5125
ARHGEF10L,34117
ARHGEF11,19484
ARHGEF12,58420
ARHGEF15,11944
ARHGEF16,26122
ARHGEF17,6369
ARHGEF18,36459
ARHGEF19,15247
ARHGEF2,25180
ARHGEF25,29625
ARHGEF26,8749
ARHGEF28,16568
ARHGEF3,6095
ARHGEF33,3675
ARHGEF35,66079
ARHGEF37,21421
ARHGEF38,36953
ARHGEF39,1500
ARHGEF4,3048
ARHGEF40,8000
ARHGEF5,11679
ARHGEF6,18726
ARHGEF7,81024
ARHGEF9,31201
ARID1A,119032
ARID1B,53787
ARID2,34852
ARID3A,8199
ARID3B,6532
ARID3C,1747
ARID4A,82460
ARID4B,119235
ARID5A,27948
ARID5B,10107
ARIH1,92133
ARIH2,52989
ARL1,116026
ARL10,9510
ARL11,5192
ARL13A,4832
ARL13B,5005
ARL14,2853
ARL14EP,8899
ARL14EPL,3510
ARL15,18023
ARL16,271
ARL17B,22551
ARL2,5703
ARL2BP,58462
ARL3,81899
ARL4A,30748
ARL4C,32322
ARL4D,3580
ARL5A,9431
ARL5B,44288
ARL5C,1458
ARL6,13097
ARL6IP4,2331
ARL6IP5,8170
ARL6IP6,32828
ARL8A,49446
ARL8B,121323
ARL9,3434
ARMC1,14039
ARMC10,11844
ARMC12,1191
ARMC2,10863
ARMC3,7503
ARMC5,7688
ARMC6,17521
ARMC7,73166
ARMC8,4821
ARMC9,23070
ARMCX1,16709
ARMCX2,15311
ARMCX3,24574
ARMCX4,6025
ARMCX5,5183
ARMCX6,5699
ARMH1,5576
ARMH2,2007
ARMH3,52563
ARMH4,3092
ARMS2,1043
ARMT1,109390
ARNT,89072
ARNT2,8505
ARPC1A,5
ARPC1B,16838
ARPC2,14607
ARPC3,59327
ARPC4,2366
ARPC5,54264
ARPC5L,24962
ARPIN,25467
ARPP19,173045
ARPP21,3040
ARR3,1205
ARRB1,21668
ARRB2,30532
ARRDC1,41414
ARRDC2,80751
ARRDC3,57694
ARRDC4,20951
ARRDC5,5764
ARSA,4653
ARSB,12041
ARSD,23400
ARSF,2960
ARSG,38899
ARSH,2828
ARSI,2475
ARSJ,6485
ARSK,16617
ARSL,3797
ART1,742
ART3,8423
ART4,3299
ART5,3696
ARTN,5067
ARV1,41530
ARVCF,22377
ARX,13362
AS3MT,5362
ASAH1,80123
ASAH2,3938
ASAH2B,20524
ASAP1,52715
ASAP2,62801
ASAP3,20046
ASB1,16522
ASB10,1458
ASB11,4116
ASB12,2082
ASB13,30474
ASB14,1356
ASB15,1937
ASB16,835
ASB17,4356
ASB18,1939
ASB2,2789
ASB3,21231
ASB4,4522
ASB5,5736
ASB6,30514
ASB7,23866
ASB8,20044
ASB9,3327
ASCC1,20064
ASCC2,11609
ASCC3,52160
ASCL1,3674
ASCL2,486
ASCL3,1869
ASCL4,2524
ASCL5,862
ASF1A,17413
ASF1B,13705
ASGR1,4069
ASGR2,1393
ASH1L,187513
ASH2L,26288
ASIC1,4916
ASIC2,2513
ASIC3,8899
ASIC4,1588
ASIC5,2450
ASIP,4353
ASL,24337
ASNSD1,41271
ASPA,5615
ASPDH,3949
ASPG,1706
ASPH,61523
ASPHD1,5232
ASPHD2,4300
ASPM,4944
ASPN,20141
ASPSCR1,16585
ASRGL1,4454
ASS1,6071
ASTE1,13601
ASTL,4061
ASTN1,2908
ASTN2,105502
ASXL1,63546
ASXL2,53416
ASXL3,3976
ASZ1,2987
ATAD2,53111
ATAD2B,53556
ATAD3A,6813
ATAD3B,15194
ATAD3C,3994
ATAD5,15036
ATAT1,25244
ATCAY,1949
ATE1,115874
ATF1,24898
ATF2,29686
ATF3,11615
ATF4,4425
ATF5,3360
ATF6,64501
ATF6B,62887
ATF7,23135
ATF7IP,88554
ATF7IP2,6602
ATG10,13231
ATG101,21946
ATG12,80194
ATG13,68923
ATG14,22476
ATG16L1,27703
ATG16L2,38950
ATG2A,19096
ATG2B,23735
ATG3,96092
ATG4A,10454
ATG4B,45216
ATG4C,23845
ATG4D,12554
ATG5,91176
ATG7,22471
ATG9A,27361
ATG9B,3487
ATIC,71734
ATL1,8906
ATL2,50807
ATL3,106474
ATM,33724
ATMIN,20723
ATN1,105739
